"meanImp" "medianImp" "minImp" "maxImp" "normHits" "decision"
"idiot" 41.3467761042506 47.4079825188341 12.737498568904 55.8914123229187 1 "Confirmed"
"moron" 33.3147863487035 38.3275941755032 10.479713443549 45.3721276912205 1 "Confirmed"
"retard" 30.5622968142729 35.5744362794628 8.43020242654225 42.7890373772132 1 "Confirmed"
"dumb" 28.3753780153494 32.0658536334256 10.5393125023515 37.2293962996471 1 "Confirmed"
"loser" 24.2487425226527 27.6221126521621 8.21046695347347 33.3184539558789 0.98989898989899 "Confirmed"
"stupid" 23.5151838239845 26.302181859073 9.0299425673542 32.1648021735901 1 "Confirmed"
"bitch" 20.8015009727617 23.5962652969853 6.38114731420352 30.8247145443006 0.939393939393939 "Confirmed"
"shut" 20.3173490118703 22.3290502491761 7.85731686503171 29.6974846587787 1 "Confirmed"
"famili" 19.973526383809 22.7510008646072 5.92300060292691 27.8489368489334 0.898989898989899 "Confirmed"
"racist" 19.0041467195428 21.5336588023479 6.26462947879062 26.7405628623336 0.939393939393939 "Confirmed"
"nigga" 18.1591973943261 20.3817051041153 5.67545992145599 26.5068406949742 0.878787878787879 "Confirmed"
"back" 15.5585895405995 17.0626367561784 5.50575275052216 25.0178358910724 0.919191919191919 "Confirmed"
"ass" 14.518285279683 15.5696263210874 6.69675114664385 22.2560719668238 0.898989898989899 "Confirmed"
"mouth" 12.3085719364241 13.3304254463337 4.69087172427895 18.6652052472646 0.787878787878788 "Confirmed"
"mother" 10.2843543813661 10.8632189385415 4.67681130083312 15.7578662162255 0.686868686868687 "Tentative"
"piec" 4.30692780018021 4.03696054603933 3.20558912793941 5.95815036587624 0 "Rejected"
"white" 4.28980809962948 4.23486880981506 3.0956108100022 5.29634060411191 0 "Rejected"
"pathet" 3.66900108715278 3.99364477709919 1.79956664801967 4.96094053033036 0 "Rejected"
"exist" 4.23531717884201 4.21875864219642 3.43162958936755 4.93820317978225 0 "Rejected"
"made" 3.32855733500206 3.51530152166654 0.751812614322432 4.7412630469426 0 "Rejected"
"troll" 3.27371710458642 3.17826570996526 1.86112291425957 4.70425646939665 0 "Rejected"
"say" 3.10359657095694 3.15523776951339 0.861082598913104 4.44462394576902 0 "Rejected"
"life" 2.03958428341008 2.14955395620393 0.194261588724596 4.36682205959749 0 "Rejected"
"die" 2.50159505522974 2.40244805982944 0.989903355599373 4.33683695146111 0 "Rejected"
"fit" 2.82223309888458 2.96588791291657 0.370457326498032 4.26970010204696 0 "Rejected"
"faggot" 3.20154458603036 3.16315392738663 1.70134478169152 4.15070977325967 0 "Rejected"
"ignor" 2.24312470691736 2.15687396701922 -0.117705486167861 4.11384751823567 0 "Rejected"
"realli" 2.87845555751832 2.92167215991825 1.78245553444171 4.08209158189977 0 "Rejected"
"sound" 2.32448806293955 2.2688337821295 1.16360587133789 4.01584590263828 0 "Rejected"
"find" 1.88766172248518 1.76782459428431 -0.48646539152027 3.9761925281011 0 "Rejected"
"repeat." 2.2315400249297 2.33255375141895 1.1106189099048 3.93816184771795 0 "Rejected"
"sit" 2.78008565900256 2.72506583445273 1.68467553809336 3.91627930199723 0 "Rejected"
"crawl" 2.4948234575741 2.39914861475432 0.841186667463369 3.91023557897533 0 "Rejected"
"knock" 2.4649525224326 2.46416152406402 0.860173263074886 3.89020305357884 0 "Rejected"
"age" 2.53326954014419 2.51326576725313 1.17985552790302 3.86910371763222 0 "Rejected"
"pictur" 2.46306563702476 2.84092937278349 0.478734106048287 3.80564961474647 0 "Rejected"
"dead" 2.13719590808402 2.27891838702743 0.184546373359066 3.78018614156841 0 "Rejected"
"time" 1.57820636348227 1.51820939099346 -0.465902307309869 3.73124641455107 0 "Rejected"
"filthi" 2.50968817868006 2.6085339688329 0.785168641927157 3.72887285222197 0 "Rejected"
"shit" 2.39269818793212 2.30775777402028 0.656832171007985 3.72030202215082 0 "Rejected"
"face" 2.43687296800479 2.63769028910011 0.145685981646194 3.64594950719927 0 "Rejected"
"fact" 2.24773660741531 2.27057169747829 0.845298614775634 3.61854579995372 0 "Rejected"
"whine" 2.82330352954544 2.76746242053735 1.80013563971778 3.59073566178605 0 "Rejected"
"internet" 2.00572508571071 2.12235752801141 0.310321028952702 3.54072596004287 0 "Rejected"
"sister" 1.77920799123867 1.95553338690268 -0.219170519447765 3.53348475211964 0 "Rejected"
"straight" 2.04954183884336 2.02228844594632 0.692173562686986 3.52381049850218 0 "Rejected"
"turn" 2.00353297246032 2.0560221686804 -0.00702699534044532 3.50573612885862 0 "Rejected"
"fool" 2.02665735117777 2.14961092172417 0.549408017409936 3.47590437570049 0 "Rejected"
"hate" 1.58330379639351 1.7125976320215 -0.255696564458876 3.42596921877257 0 "Rejected"
"liber" 2.03853383198405 2.34284774169469 -0.0124187255385679 3.3791367027922 0 "Rejected"
"sucker" 2.654648840074 2.68040511342845 1.6938631628916 3.36806958001542 0 "Rejected"
"smug" 2.06403084307839 2.12111974304126 1.00100150250438 3.27478667154636 0 "Rejected"
"off" 2.09399587601023 1.98563378093413 0.440226866481863 3.24264472324016 0 "Rejected"
"what" 1.60809459056163 1.49416447229441 -0.0142571304207317 3.22612203310286 0 "Rejected"
"proof" 2.52369742360782 2.62416969981014 -0.00543253220511346 3.1701372835183 0 "Rejected"
"post" 1.33166666153744 1.42065258011614 -1.16634618158943 3.11828780583404 0 "Rejected"
"fake" 1.77919755163028 1.59366759453923 0.540932050384452 3.00155859189033 0 "Rejected"
"still" 1.90334678852868 1.89979209209453 0.920576195513932 2.98405000767595 0 "Rejected"
"hole" 0.949223347661207 1.03925702729072 -0.780544795263284 2.93013488377781 0 "Rejected"
"socialist" 1.7686100569065 1.73725624063646 0.85274257330344 2.91687749994731 0 "Rejected"
"cracker" 2.24037059189362 2.24605163540806 1.00100150250438 2.91380408127142 0 "Rejected"
"damn" 0.934167624730406 0.824707427286647 -0.992663124270275 2.87834953820464 0 "Rejected"
"rapist" 1.39783491791602 1.33646701755397 0 2.8496782273551 0 "Rejected"
"tell" 0.972007912318816 0.782005185948164 -0.718524597443307 2.83027079022504 0 "Rejected"
"slowli" 0.992342026325028 0.8796088876044 -0.787469375024136 2.73843676971545 0 "Rejected"
"befor" 1.54668490750351 1.41703346551166 0 2.73252852037164 0 "Rejected"
"peternyou" 1.51617365944225 1.67127475513184 -1.00100150250438 2.70768952002204 0 "Rejected"
"libturd" 1.8058056118783 1.64272570916848 0.614408844452335 2.67702111040608 0 "Rejected"
"guy" 0.997717310012115 0.882117357914009 -0.987839987467108 2.67399293759119 0 "Rejected"
"ugli" 1.79859204721859 1.97032072216448 0.54841510939581 2.65723034993748 0 "Rejected"
"queen" 1.09996504643573 1.3457838788072 -1.00100150250438 2.61780601115669 0 "Rejected"
"bet" 1.17934504089441 1.25932186356546 -0.664457306290423 2.57740689054782 0 "Rejected"
"coward" 0.480145105158033 0.488228005476797 -1.97805607593399 2.54338059145035 0 "Rejected"
"hoe" 1.42980129252978 1.41704846649551 0 2.53733754645324 0 "Rejected"
"good" 0.673079405398582 0.699264046195826 -0.976655860034047 2.49054368910127 0 "Rejected"
"bag" 1.24897770900775 1.49940171633299 -1.02969931114109 2.47539813578211 0 "Rejected"
"pussi" 0.971893782370659 0.980009186058205 -0.731752577774594 2.45083217162974 0 "Rejected"
"hard" 0.173062422191915 0.101286574306026 -1.53833921034509 2.43313788083494 0 "Rejected"
"asshol" 1.02211573520233 1.35100641261922 -1.39110847168751 2.3743631622534 0 "Rejected"
"shove" 1.48820351319537 1.63511659752602 0 2.37256177748585 0 "Rejected"
"ladi" 1.13544922442841 1.41686184633974 -1.00100150250438 2.36706626088492 0 "Rejected"
"fuckin" 0.638502009619493 0.654571423277338 -2.08832603540511 2.36536005728321 0 "Rejected"
"aka" 1.62748870908231 1.66653210345086 0.44365349264549 2.36407900336266 0 "Rejected"
"member" 1.40034956011554 1.63031068918663 -0.496446808435577 2.33905383317548 0 "Rejected"
"ima" 0.859461782581854 1.00100150250438 0 2.33198365499056 0 "Rejected"
"nit" 1.3833187800865 1.59270906000487 0 2.33048757953088 0 "Rejected"
"beat" 0.472935221234206 0.378800461444512 -1.22370783577086 2.31901204861565 0 "Rejected"
"comment" 0.793141347060951 1.20299394978989 -1.66629754108266 2.31532788927329 0 "Rejected"
"dick" 0.318695739031679 0.27579285794288 -1.10026932712648 2.25683012786748 0 "Rejected"
"scum" 0.508911324068789 0.430127038490166 -1.64461248887419 2.21588663014866 0 "Rejected"
"are" 0.357761222452348 0.43450118776557 -1.52392014443812 2.21165684089141 0 "Rejected"
"intellig" 0.362902877896399 0.541015220305358 -1.96470472293563 2.21086089309747 0 "Rejected"
"cri" 1.19996297479982 1.35272791062561 -1.00100150250438 2.19875042118926 0 "Rejected"
"lesbo" 1.25425928531077 1.41665550274219 -1.00100150250438 2.19311644687243 0 "Rejected"
"dirti" 1.34215765289455 1.41693359279124 0.00459157837124106 2.19086287512462 0 "Rejected"
"stfu" 1.33241566867606 1.4169825780254 0 2.18918747013826 0 "Rejected"
"pimp" 1.25344039681878 1.37005198073458 0 2.18855999107653 0 "Rejected"
"shitti" 0.171232564981933 0.0103053525944559 -1.61024289523366 2.16077412804776 0 "Rejected"
"prove" -0.211916354104391 -0.53198653589538 -2.09463747294591 2.15550557007955 0 "Rejected"
"poster" 0.636919819089791 1.00100150250438 -1.00100150250438 2.14787480036227 0 "Rejected"
"yellow" 0.302371916676715 0.23287102030419 -1.70557055324782 2.14277580196338 0 "Rejected"
"block" 0.985988114648176 1.00100150250438 -1.00100150250438 2.14089923722097 0 "Rejected"
"who" 1.19362358899355 1.4169257232365 -1.00100150250438 2.1394039852777 0 "Rejected"
"peopl" 0.465742093766482 0.54572682961096 -1.32747947212402 2.13210688759326 0 "Rejected"
"prick" 0.378510574222204 0.468127573093588 -1.39153097279318 2.1308227066844 0 "Rejected"
"bout" 0.0911576257909817 0.271253193977641 -1.73497762096935 2.12823138831008 0 "Rejected"
"win" 0.618190072866542 0.839458816985491 -1.63513861262205 2.11622559224588 0 "Rejected"
"full" -0.267402651804402 -0.230117539054062 -2.74554988990656 2.10001583470111 0 "Rejected"
"about" 0.870711191581012 1.00100150250438 -0.616307851207181 2.07020709245025 0 "Rejected"
"fuck" 0.288260884279792 0.63923890066057 -2.30800667131674 2.00849411971031 0 "Rejected"
"how" -0.0291264161079824 0 -1.41704842450357 2.00800524419929 0 "Rejected"
"assum" 0.333615136090064 0.583248693892325 -1.30303246375844 2.00794850125443 0 "Rejected"
"knee" 0.880359150832111 1.00100150250438 -1.00100150250438 2.00765848243875 0 "Rejected"
"take" 0.995470733991143 1.13185798964712 -0.450268258749668 2.00747259066781 0 "Rejected"
"butt" 0.712738137092143 0 0 2.00747073122681 0 "Rejected"
"douch" -0.174311416370998 -0.215808946679326 -1.96976123258553 2.00735351203497 0 "Rejected"
"lil" 0.186047117417258 0.00671080517565271 -1.6448693583524 2.00713256059977 0 "Rejected"
"abus" -0.154500745936145 -0.0207068502134759 -2.30979993618476 1.98461822112383 0 "Rejected"
"kick" 0.0351331201791523 -0.225552648034833 -2.05605300103251 1.98240958113192 0 "Rejected"
"proud" 0.266818622645456 0.0953104661257416 -1.79607636403461 1.97892470657184 0 "Rejected"
"big" -0.819711365924382 -1.13805411389505 -2.27960051987246 1.96705588165061 0 "Rejected"
"with" 0.223590456514116 -0.00236095425626197 -1.45534262921248 1.95607609626773 0 "Rejected"
"thing" 0.395685185063481 0.4328884934583 -1.73976625159233 1.95283133972409 0 "Rejected"
"talkin" 1.2493816037615 1.33980139230422 0 1.95114540571034 0 "Rejected"
"piti" 0.927423484093561 1.00100150250438 0 1.9476785684236 0 "Rejected"
"come" 0.597584780664054 0.553655749384435 -2.10910721480331 1.94651221836333 0 "Rejected"
"give" 0.721715484741047 0.90562605356589 -1.41695528110815 1.94627979325969 0 "Rejected"
"dad" 0.517064867788321 1.00100150250438 -1.34869642905791 1.94449914932451 0 "Rejected"
"turd" 0.396476021981499 0.425845706602888 -1.307579492499 1.94357770816818 0 "Rejected"
"noth" 1.0212566098992 1.00100150250438 0 1.94319169292418 0 "Rejected"
"screen" 0.957667306338362 1.00100150250438 -1.00100150250438 1.91366572142368 0 "Rejected"
"when" 0.594885153539843 0.737358792093591 -1.29143008440321 1.91322161739999 0 "Rejected"
"lazi" 1.14426045037856 1.00100150250438 -0.0293155370291254 1.91044500919829 0 "Rejected"
"libtard" 0.726583858005633 1.00100150250438 -1.00100150250438 1.90776427227619 0 "Rejected"
"talk" 0.0812570623214253 0 -1.41638075131977 1.90592637705193 0 "Rejected"
"correct" 0.601725774285069 1.00100150250438 -1.4167734749763 1.90262328179368 0 "Rejected"
"ill" -0.0528773811470448 0 -1.4170425991097 1.90126785408058 0 "Rejected"
"cut" -0.576647910123332 -0.600125988821606 -2.03408448939919 1.90113851116426 0 "Rejected"
"eat" 0.144391032062652 0.436498965927251 -1.91922528528259 1.90011514793088 0 "Rejected"
"doe" 0.08079536973342 0.264440221987415 -1.73716056346931 1.89980853150584 0 "Rejected"
"low" 0.531202603502827 0.525372451310997 -0.895405615624372 1.88986933653265 0 "Rejected"
"man" 0.362733244525885 0.435678324819647 -2.3341346005164 1.8890438831247 0 "Rejected"
"feel" 0.189371672079041 0.995800870797417 -2.14021506738025 1.88747227452855 0 "Rejected"
"hell" 0.134543372102339 0.267781798513979 -1.11891976920499 1.87772060841412 0 "Rejected"
"fat" -0.212814325404864 -0.267147733035884 -1.64339824417527 1.87113016300236 0 "Rejected"
"long" 0.539629948863502 0.538999166945792 -0.809158131402403 1.86912262465757 0 "Rejected"
"group" -0.269033120683035 -0.0350524173380729 -2.24644145178742 1.81837614086276 0 "Rejected"
"blow" 0.784961442908107 1.00100150250438 -1.00100150250438 1.80375882577293 0 "Rejected"
"worthless" -0.517236288015418 -0.647867671965256 -2.14439514961588 1.79009509230668 0 "Rejected"
"child" 0.428949483427932 0.76115559364848 -1.51798776898467 1.78317908312918 0 "Rejected"
"the" -0.115395588807226 -0.312236919254372 -1.57265264566277 1.75118711601285 0 "Rejected"
"tree" -0.111532597654752 -0.00460653449481541 -1.73691228158024 1.73727046020804 0 "Rejected"
"money" 0.643637859793297 1.00100150250438 -1.17046300593374 1.73726829286546 0 "Rejected"
"rude" -0.297569280617863 -0.0640089993887664 -1.67945894877436 1.73724377261132 0 "Rejected"
"pic" -0.772442246242953 -1.00100150250438 -2.00779021138648 1.73721482545508 0 "Rejected"
"help" -0.452178082580332 -0.00710651144900268 -1.64356442733479 1.73715741131203 0 "Rejected"
"sentenc" -0.37924532325387 -0.720711679321473 -1.91285556879264 1.7371568463699 0 "Rejected"
"excus" -0.229858589755044 -0.0240955837968169 -2.3459616654638 1.73710027861894 0 "Rejected"
"buri" -0.302414866272158 0 -1.64403955879065 1.73709093996602 0 "Rejected"
"fece" 0.921245903835985 1.0184090025912 0 1.73705520644766 0 "Rejected"
"get" -0.70306056223415 -0.811628743021456 -2.10917614347699 1.73704487504967 0 "Rejected"
"year" -0.10260784810464 -0.0047456564823511 -1.4169583522847 1.73703269195323 0 "Rejected"
"where" -0.0663098578675001 0 -1.88589596837051 1.7369586895315 0 "Rejected"
"decent" -0.135410148923196 -0.366459172043228 -1.41655486719761 1.73691609419524 0 "Rejected"
"great" 0.444963435951952 0.711734870286407 -1.73699819725598 1.7368896181361 0 "Rejected"
"fukin" -0.34099849465316 -0.553338447079883 -1.41700223770478 1.73688823448973 0 "Rejected"
"compar" -0.257579616276055 0 -1.62185905244358 1.73687908035873 0 "Rejected"
"initi" 0.900286344763828 1.27353987928087 -1.00100150250438 1.7368651460875 0 "Rejected"
"creep" 0.759372938596449 1.00100150250438 -1.00100150250438 1.73686405446081 0 "Rejected"
"direct" -0.69335797781182 -1.00100150250438 -1.68157297459023 1.73685925909597 0 "Rejected"
"joke" 0.211679399866417 0.0425491072526469 -1.34287278593076 1.73684666348961 0 "Rejected"
"nut" 0.863140575350892 1.00100150250438 0 1.73682834484435 0 "Rejected"
"sensit" -0.61721762870696 -1.00100150250438 -2.36331159893098 1.73671312251008 0 "Rejected"
"protect" -0.667425608513835 -0.771427538140015 -1.64167661759709 1.73650660199535 0 "Rejected"
"today" -0.489370444815618 -0.72799238491593 -1.83036590857745 1.73632894951688 0 "Rejected"
"respond" -0.0225873090357371 0 -1.3362645216328 1.73630233244069 0 "Rejected"
"bankrupt" 0.62394716526994 1.00100150250438 0 1.73614432873736 0 "Rejected"
"then" -0.35861911838688 -0.597191500055024 -1.42534143761012 1.73599381108396 0 "Rejected"
"put" -0.0956422437503361 0 -1.73726225415041 1.73590778799995 0 "Rejected"
"play" 0.338820008324346 0.657606169459232 -1.88414951796504 1.72511019350827 0 "Rejected"
"end" 0.286878328483613 0.0158890411005595 -1.34161381736085 1.71379162503428 0 "Rejected"
"lot" -0.532860228611544 -1.00100150250438 -1.82754190028381 1.70294673793949 0 "Rejected"
"listen" -0.320647908924663 -0.452591750788612 -1.49617443615802 1.69580428256236 0 "Rejected"
"vile" 0.120654433487666 0.0195361326208113 -1.73708265378508 1.68507977666239 0 "Rejected"
"human" -0.22635448140935 -0.306960963452672 -1.54237199977639 1.67803856174142 0 "Rejected"
"dickhead" 0.861480366153643 1.00100150250438 0 1.67567087650969 0 "Rejected"
"disgust" 0.553137993053842 0.776943885415693 -1.00100150250438 1.67220290063076 0 "Rejected"
"vagina" 0.77873891398249 1.00100150250438 0 1.66946521272771 0 "Rejected"
"maggot" 0.145074013182298 0.004847972060807 -1.73604651637904 1.65097366496352 0 "Rejected"
"cancer" -1.04110524994345 -1.16874000713191 -2.32035453925867 1.65012495551795 0 "Rejected"
"promot" 0.716284690016642 1.00100150250438 0 1.6431917846545 0 "Rejected"
"learn" -0.284912815922829 -0.490378608930094 -2.16018846498785 1.64257833829103 0 "Rejected"
"wont" 0.323690785344165 0.0116105590429095 -1.41675830281563 1.63965140821724 0 "Rejected"
"anim" -0.773080708264102 -1.20376178175766 -2.14650192962465 1.63874547188904 0 "Rejected"
